"PartyId","AddressType","AddressLine","StreetName","BuildingNumber","PostCode","TownName","CountrySubDivision","CountryId",
"8866","West","8608 Mac Branch","Lucio Tunnel","574","37532-9772","Lake Consuelo","48596166","1",
"8882","West","898 Abraham Oval Apt. 280","Welch Freeway","1348","28791","Vivamouth","5291882","1",
"8930","Sout","076 Kub Mall","Prosacco Throughway","65264","32060-8205","Kaleighfurt","7086","1",
"8944","Sout","089 Una Fork Apt. 388","Harris Streets","1151","19037","Gradyburgh","7145904","3",
"8971","West","7010 Dudley Island Suite 098","Mylene Manor","3988","36679","Mayertland","213080523","2",
"8977","Port","7064 Blick Knolls","Liliana Shore","08712","02250","Stephonville","94","1",
"8999","Lake","78180 Nestor Run","Fred Shores","552","20228","Lake Maureen","532132813","2",
"9088","West","28275 Kris Fall","Jeff Ways","4392","77725-6467","Hettingerchester","982","1",
"9089","Port","24687 Mraz Port","Bode Field","163","39560","Lake Mosheport","6616671","3",
"9124","Lake","355 America Prairie Apt. 146","Ramiro Parkways","3607","01912","South Ninaland","37864543","1",
"9129","Port","68273 Tyrese Drive Suite 247","Von Tunnel","0216","77163","East Jovan","69752","1",
"9145","Sout","68012 Conn Hills","Helmer Circle","953","86354-3628","Port Ferne","64","3",
"9154","Port","999 Will Forge Suite 993","Hirthe Estate","373","88173-0432","West Cloyd","","1",
"9177","West","69757 Earlene Alley Suite 174","Diana Ford","98735","45559-5228","Walshland","944776956","3",
"9197","New","5223 Barney Rapid","Becker Meadows","086","55464-3368","New Laurettabury","","2",
"9198","Nort","122 Frami Mission","Jocelyn Terrace","02268","03030","West Joanne","71","2",
"9283","Port","6785 Nona Groves","Simeon Port","277","53243-3725","East Aylaville","1178","3",
"9291","Nort","69881 Donavon Cove","Farrell Avenue","7072","98419-0613","West Cory","40563","3",
"9313","West","44453 Hannah Orchard","Shields Well","25324","09991","Lake Abigaleport","989274594","1",
"9370","East","049 Stanton Drive Suite 476","Sydney Estate","29409","84561-7851","New Gerhard","1","2",
"9377","West","3618 Bradtke Parks","Metz Plaza","73743","31476","South Morgan","","3",
"9386","East","07597 Franecki Ridges","Nichole Green","19098","44822-7860","Tromphaven","2","3",
"9411","Lake","0519 Stan Rapid","Kub Freeway","74206","31828","Port Dayne","2","3",
"9417","East","740 Myriam Cove Suite 053","Pat Crossroad","2893","80314-3709","West Fred","80393","1",
"9451","Lake","405 Gerson Trafficway Apt. 079","Tillman Villages","3197","03877","Mortonburgh","171","1",
"9480","West","9307 Quigley Manors","Oleta Lights","271","43815","West Letabury","","2",
"9520","East","147 Cassin Curve Apt. 582","Schroeder Row","7582","39123-7843","New Claudine","99","2",
"9584","East","570 Rubye Shoals Suite 665","Macejkovic Forge","76463","27445","Vandervortport","61249090","3",
"9600","Port","6856 Rau Wells","Block Drives","4905","08909","Darbyfort","35755765","2",
"9604","Port","218 Lance Passage","Mason Village","585","95494","South Melyna","","3",
"9649","New","390 Alvina Underpass Apt. 374","Rubie Curve","19867","63713-0635","Damionchester","91464166","2",
"9692","Lake","0149 Elouise Rapids","Fritz Isle","710","13605","New Colby","3047060","1",
"9714","West","40085 Bosco Ranch","Stark Hollow","7617","05179-1994","Wileyview","41","3",
"9717","Sout","07557 Percy Locks","Beatty Cove","8058","52291-4087","North Sierramouth","545","3",
"9741","New","802 Kathryne Oval","Hardy Radial","00591","17648","West Lillaland","6","3",
"9747","New","99147 Makenzie Mews Apt. 490","Kreiger Shores","46549","00424-1650","Kshlerinfort","389","1",
"9769","West","03307 Phyllis Island","Queen Forges","616","54730","Cathrinefurt","28388","2",
"9774","West","6169 Khalil Station","Kacie Spurs","96097","34045","South Maxview","","2",
"9785","West","0777 Madonna Turnpike","Cathryn Village","8077","18389","New Emmieton","","1",
"9832","Nort","4047 Jenkins Court Apt. 899","Griffin Meadow","25704","03861","North Pablo","527","1",
"9834","Nort","20836 Marilie Brooks Suite 753","Keeling Field","239","88932-1629","Port Gerald","638275","1",
"9875","Sout","2369 Tremblay Alley","Gregg Flat","3641","67121-4951","South Shemarfurt","7868571","3",
"9893","Nort","5074 Eddie Haven Apt. 644","Leannon Springs","137","38674-4571","Lake Braulioville","83231017","2",
"9953","New","815 Ritchie Valley","Tristian Camp","29189","73450","North Nathanialport","779996308","1",
"9954","East","090 Corwin Green Suite 203","Toy Row","78740","91362-8740","East Melbafurt","6362724","2",
